MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method
4441167.3	GS048b Shotgun - Coral Reef - Polynesia Archipelagos - Moorea, Cooks Bay - Fr. Polynesia	50,969,448	47,692	marine habitat	marine habitat	marine habitat	Polynesia Archipelagos - Moorea, Cooks Bay	French Polynesia	-17.47583, -149.812	WGS	other
4441662.3	GS030 Shotgun - Warm Seep - Galapagos Islands - Warm seep, Roca Redonda - Ecuador	391,694,924	359,152	marine habitat	marine habitat	marine habitat	Galapagos Islands - Warm seep, Roca Redonda	Ecuador	.2722, -91.633	WGS	other
4441576.3	GS001a Shotgun - Open Ocean - Sargasso Sea - Hydrostation S - Bermuda	143,316,448	142,352	marine habitat	marine habitat	marine habitat	Sargasso Sea	Bermuda	32.1667, -64.5	WGS	other
4441148.3	GS117b Shotgun - Coastal sample - Indian Ocean - St. Anne Island, Seychelles - Seychelles	54,752,102	50,609	marine habitat	marine habitat	marine habitat	Indian Ocean - St. Anne Island, Seychelles	Seychelles	-4.6136, 55.5086	WGS	other
4441126.3	GS041 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	739,958	678	marine habitat	marine habitat	marine habitat	Tropical South Pacific	 	-5.93, -108.68694	WGS	other
4441121.3	GS050 Shotgun - Coral Atoll - Polynesia Archipelagos - Tikehau Lagoon - Fr. Polynesia	755,429	715	marine habitat	marine habitat	marine habitat	Polynesia Archipelagos - Tikehau Lagoon	French Polynesia	-15.2778, -148.224	WGS	other
4441590.3	GS020 Shotgun - Fresh Water - Panama Canal - Lake Gatun - Panama	315,151,139	296,355	freshwater habitat	freshwater habitat	freshwater habitat	Lake Gatun, Panama	Panama	9.1644, -79.83611	WGS	other
4441132.3	MOVE858 Shotgun - Estuary - North American East Coast - Chesapeake Bay, MD - USA	11,657,770	11,496	marine habitat	marine habitat	marine habitat	Chesapeake Bay, MD	United States of America	38.133, -76.383	WGS	other
4441605.3	GS049 Shotgun - Coastal - Polynesia Archipelagos - Moorea, Outside Cooks Bay - Fr. Polynesia	94,424,378	92,501	marine habitat	marine habitat	marine habitat	Polynesia Archipelagos - Moorea, Outside Cooks	French Polynesia	-17.45306, -149.7989	WGS	other
4441572.3	GS000b_11	321,026,307	317,180	marine habitat	marine habitat	marine habitat	Sargasso Sea	Bermuda	31.175, -64.324	MT	other
4441139.4	GS122b Shotgun - Open Ocean - Indian Ocean - International waters between Madagascar and South Africa - International	52,667,848	50,096	marine habitat	marine habitat	marine habitat	Indian Ocean - International waters between Madagascar and South Africa	 	-30.8983, 40.4203	WGS	other
4441129.3	GS044 Shotgun - Open Ocean - Tropical South Pacific - 600 miles from F. Polynesia - International	714,813	678	marine habitat	marine habitat	marine habitat	Tropical South Pacific - 600 miles from F. Polynesia	 	-8.415, -124.2397	WGS	other
4441615.3	GS122a Shotgun - Open Ocean - Indian Ocean - International waters between Madagascar and South Africa - International	105,196,135	101,558	marine habitat	marine habitat	marine habitat	Indian Ocean - International waters between Madagascar and South Africa	 	-30.8983, 40.4203	WGS	other
4441583.3	GS008 Shotgun - Coastal - North American East Coast - Newport Harbor, RI - USA	137,725,898	129,655	marine habitat	marine habitat	marine habitat	Newport Harbor, RI	United States of America	41.4858, -71.3511	MT	other
4441150.3	GS115 Shotgun - Open Ocean - Indian Ocean - Indian Ocean - International	64,230,062	61,020	marine habitat	marine habitat	marine habitat	Indian Ocean	 	-4.6625, 60.5231	WGS	other
4441601.3	GS035 Shotgun - Coastal - Galapagos Islands - Wolf Island - Ecuador	151,840,270	140,814	marine habitat	marine habitat	marine habitat	Galapagos Islands - Wolf Island	Ecuador	1.3891367, -91.81694	WGS	other
4441618.3	GS149 Shotgun - Harbor - Indian Ocean - West coast Zanzibar (Tanzania), harbour region - Tanzania	111,178,553	110,984	marine habitat	marine habitat	marine habitat	Indian Ocean - West coast Zanzibar (Tanzania), harbour region	Tanzania	-6.1167, 39.1167	WGS	other
4441591.3	GS021 Shotgun - Coastal - Eastern Tropical Pacific - Gulf of Panama - Panama	143,454,700	131,798	marine habitat	marine habitat	marine habitat	Eastern Tropical Pacific, Gulf of Panama	Panama	8.1292, -79.6911	WGS	other
4441136.3	GS039 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	866,795	759	marine habitat	marine habitat	marine habitat	Tropical South Pacific	 	-3.3433, -101.37389	WGS	other
4441131.3	GS046 Shotgun - Open Ocean - Tropical South Pacific - 300 miles from F. Polynesia - International	683,240	626	marine habitat	marine habitat	marine habitat	Tropical South Pacific - 300 miles from F. Polynesia	 	-9.5711, -131.49167	WGS	other
4441139.3	GS108a Shotgun - Lagoon Reef - Indian Ocean - Coccos Keeling, Inside Lagoon - Australia	50,890,568	51,788	marine habitat	marine habitat	marine habitat	Indian Ocean - Coccos Keeling, Inside Lagoon	Australia	-12.0925, 96.88167	WGS	other
4441580.3	GS003 Shotgun - Coastal - North American East Coast - Browns Bank, Gulf of Maine - Canada	66,907,344	61,605	marine habitat	marine habitat	marine habitat	Browns Bank, Gulf of Maine	Canada	42.85278, -66.2172	MT	other
4441130.3	GS045 Shotgun - Open Ocean - Tropical South Pacific - 400 miles from F. Polynesia - International	796,793	730	marine habitat	marine habitat	marine habitat	Tropical South Pacific - 400 miles from F. Polynesia	 	-9.0175, -127.767	WGS	other
4441594.3	GS026 Shotgun - Open Ocean - Galapagos Islands - 134 miles NE of Galapagos - Ecuador	109,049,397	102,708	marine habitat	marine habitat	marine habitat	Open Ocean, 134 miles NE of Galapagos	Ecuador	1.2642, -90.295	WGS	other
4441596.4	GS028 Shotgun - Coastal - Galapagos Islands - Coastal Floreana - Ecuador	205,008,796	189,052	marine habitat	marine habitat	marine habitat	Galapagos Islands, Coastal Floreana	Ecuador	1.2169, -90.3197	WGS	other
4441155.3	GS109 Shotgun - Open Ocean - Indian Ocean - Indian Ocean - International	62,752,349	59,813	marine habitat	marine habitat	marine habitat	Indian Ocean	 	-10.94361, 92.05889	WGS	other
4441146.3	GS047 Shotgun - Open Ocean - Tropical South Pacific - 201 miles from F. Polynesia - French Polynesia	68,340,256	66,023	marine habitat	marine habitat	marine habitat	Tropical South Pacific - 201 miles from F. Polynesia	French Polynesia	-10.1314, -135.4494	WGS	other
4441592.3	GS022 Shotgun - Open Ocean - Eastern Tropical Pacific - 250 miles from Panama City - Panama	131,079,270	121,662	marine habitat	marine habitat	marine habitat	Eastern Tropical Pacific, 250 miles from Panama City	Panama	6.4927, -82.90389	WGS	other
4441661.3	GS023 Shotgun - Open Ocean - Eastern Tropical Pacific - 30 miles from Cocos Island - Costa Rica	143,626,589	133,051	marine habitat	marine habitat	marine habitat	Eastern Tropical Pacific, 30 miles from Cocos Island	Costa Rica	5.64, -86.565	WGS	other
4441606.3	GS108a Shotgun - Lagoon Reef - Indian Ocean - Coccos Keeling, Inside Lagoon - Australia	50,889,437	51,787	marine habitat	marine habitat	marine habitat	Indian Ocean - Coccos Keeling, Inside Lagoon	Australia	12.0925, 96.88167	WGS	other
4441143.3	GS009 Shotgun - Coastal - North American East Coast - Block Island, NY - USA	84,327,514	79,303	marine habitat	marine habitat	marine habitat	Block Island, NY	United States of America	41.091, -71.602	WGS	other
4441584.3	GS012 Shotgun - Estuary - North American East Coast - Chesapeake Bay, MD - USA	136,081,077	126,162	marine habitat	marine habitat	marine habitat	Chesapeake Bay, MD	United States of America	38.9469, -76.4172	MT	other
4441608.3	GS110b Shotgun - Open Ocean - Indian Ocean - Indian Ocean - International	53,607,277	49,597	marine habitat	marine habitat	marine habitat	Indian Ocean	 	-10.4461, 88.30278	WGS	other
4441617.3	GS148 Shotgun - Fringing Reef - Indian Ocean - East coast Zanzibar (Tanzania), offshore Paje lagoon - Tanzania	107,616,215	107,741	marine habitat	marine habitat	marine habitat	Indian Ocean - East coast Zanzibar (Tanzania), offshore Paje lagoon	Tanzania	-6.3167, 39.55	WGS	other
4441135.3	GS120 Shotgun - Open Ocean - Indian Ocean - Madagascar Waters - Madagascar	45,710,196	46,052	marine habitat	marine habitat	marine habitat	Indian Ocean - Madagascar Waters	Madagascar	-26.035, 50.123	WGS	other
4441609.3	GS112a Shotgun - Open Ocean - Indian Ocean - Indian Ocean - International	101,818,659	99,781	marine habitat	marine habitat	marine habitat	Indian Ocean	 	-8.505, 80.3756	WGS	other
4441579.3	GS002 Shotgun - Coastal - North American East Coast - Gulf of Maine - Canada	128,761,768	121,590	marine habitat	marine habitat	marine habitat	Gulf of Maine	Canada	42.5031, -67.24	MT	other
4441125.3	GS040 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	772,365	736	marine habitat	marine habitat	marine habitat	Tropical South Pacific	 	-4.49889, -105.07	WGS	other
4441596.3	GS029 Shotgun - Coastal - Galapagos Islands - North James Bay, Santigo Island - Ecuador	143,822,814	131,529	marine habitat	marine habitat	marine habitat	Galapagos Islands - North James Bay, Santigo Island	Ecuador	.2, -90.8353	WGS	other
4441153.3	GS007 Shotgun - Coastal - North American East Coast - Northern Gulf of Maine - Canada	55,430,960	50,980	marine habitat	marine habitat	marine habitat	Northern Gulf of Maine	Canada	43.632, 66.8472	WGS	other
4441602.3	GS036 Shotgun - Coastal - Galapagos Islands - Cabo Marshall, Isabella Island - Ecuador	85,757,477	77,538	marine habitat	marine habitat	marine habitat	Cabo Marshall, Isabella Island	Ecuador	-.02083, -91.1978	WGS	other
